,Company Name,Recruitment Type,Company  Reqirements
597,Ides Global Ltd.,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (Civil)"
598,Optimumbrew Technology,On Campus,"MySQL, MongoDB, SQLite, UI
swift,Xcode,UI/UX,Graphic Designer,Digital Marketing Executive / SEO."
603,Axelor Technologies,On Campus,"Java Technologies and Object Oriented Programming. "
604,Everestek Technosoft Solution,On Campus,"HTML5 ,CSS3, Javascript, Core & Advanced JAVA ,MySQL (Any database)"
608,Gujarat Chemical Port Terminal Company Ltd,On Campus,Electrical Engineering
611,VANtage Systech,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
614,PEaaS Software LLP.,On Campus," Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,Java, Angular, React"
616,HDFC,On Campus," BE- Civil Engineering,Technical"
617,THE FIRM,On Campus,"Autodesk REVIT
Sketch Up
Auto Cad
Photoshop
Illustrator
InDesign
Word
Excel
Powerpoint
Outlook."
619,Mphasis,"Pooled Campus
Marwadi University","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
621,ELEGROW TECHNOLOGY,On Campus,Engineering Design Engineer
622,Samsung,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (Whitebox Test Engineer)"
623,Inferno Yo,On Campus,"Web Developer

- Graphic Designer"
624,Promact Infotech Pvt Ltd,On Campus,.Net Developer
625,Pronix Technologies Pvt Ltd,On Campus,"Back End Developer: (.Net, .Net Core, Angular),Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML.: (Drupal, Wordpress, Magento),Front End Developer: (HTML, CSS, JavaScript),JavaScript Developer"
626,BosLeo Technology,On Campus," Android, iOS, PHP and JavaFX technology"
629,IFour Technolab,On Campus,.NET
630,Micsrosoft,"Off Campus
Enggwave","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincationing"
631,Arth Technology,On Campus,"PHP
Java Script
CSS
JQuery
Theme Integration
API Integration"
634,Magnitude Software India PVT LTD,On Campus,".Net, ASP.NET, C#, SQL Server, AJAX, HTML, JQuery, CSS, Windows Application"
637,Tecocraft Infusion,On Campus,"MySQL, MongoDB, SQLite, UI,IOS developer,PHP developer"
640,Bcube Solutions,On Campus,"PHP 5, MySQL, RDBMS, HTML 5, CSS 3, Jquery, AJAX, PHP MVC framework,Bootstrap 4, AngularJavaScript, Phonegap, Cordova, Android, Ionic, IOS"
641,Advanced Software,On Campus," HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST.,Python JavaScript, Typescript, Django, Angular v2/4/5/6, Angular Material,REST API & WebSocket architecture"
642,DRC Techno,On Campus,"Web Developer, .Net developer, MySQL, MongoDB, SQLite, UI,ASP.net Developer"
643,Maestro Intellect,On Campus," Java,UI,Android,PHP"
644,Inspiren Infotech,On Campus," ASP.NET MVC, SQL Server, HTML, CSS, JavaScript, and C#/VB.NET"
645,Spectrum Solutions & Technologies Pvt. Ltd.,On Campus,"OOPs programming methods,SQL"
646,Webzeel Services,On Campus,"Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML. and web designer,PHP
 JavaScript
 HTML5
 CSS3
 Bootstrap
 JavaScript libraries
"
647,Ridgeant Technologies,"On Campus
Through GTU","1) Java Developer

2) Big Data Developer

3) Tableau Developer

4) Pentaho Developer

5) Business Intelligence

6) .Net Developer

7) Python Developer"
648,Kahuna Systems Pvt. Ltd.,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation - Cloud & Mobile Application (On Technologies like iOS and Android app development, Angular/React App development, Java/NodeJavaScript development)"
652,MITR Learning & Media Pvt. Ltd,On Campus,HTML5/ JavaScript 
653,White Orange Software,"Pooled Campus
Through Aspering Mind","MySQL, MongoDB, SQLite, UI 
swift,Xcode,UI/UX"
655,American Express,On Campus,"Java, JavaScript, .NET, Python"
656,Netsol IT Solutions Pvt. Ltd.,On Campus,"PHP, .NET, CodeIgnitor, Laravel, WordPress, Magento2"
658,Flock Tex,On campus," C, C++, C#, OpenCV, Qt."
659,iFour Technolab Pvt Ltd,On Campus, .NET
663,SSB Digital,On Campus,"Android,PHP,.NET"
666,BitExcellent Pvt. Ltd.,On Campus,"PHP, PHP Framework, Bootstrap, Word press, Jquery, JavaScript, MySQL, Web & Rest API,Android, JavaScript framework, Swift, XML, SQLite, MySQL, Web API, JavaScriptON"
667,3M Technology,On Campus,".NET, Android, PHP, React Native"
668,WebMob,On Campus,"1. Android
   2. iOS
   3. PHP, LARAVEL, Codeignitor, Wordpress, Magento
   4. JAVASCRIPT (Node.js, Angular.js, Vue.js etc.)
   5. Others (Python, AR/VR)"
671,Acute Informatics Pvt ltd,On Campus, SQL or oops Knowledge
672,Strategic Alliance,On Campus,"REST / SOAP API
JavaScriptON / XML format handling,.NET,POSTMan
Fiddler
SOAPUI
Knoweldge of SSIS"
674,surekha technologies,On Campus,"JAVA,Big Data"
677,Environment  Innovation,On Campus,"GPCB ,NABL,Food testing,chemical testing,pharmaceutical product testing,environment testing."
678,Pandav HR Solutions,On Campus,ELECTRONICS ENGINEER
682,KhodiyarCad Center (I) Pvt Ltd. - Surat,On Campus,Cad Trainer
686,Helios Solutions,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
688,OPTIMA INSTRUMENTS,On Campus,Instruments Technician / Service Engineers
690,Sparkle infotech,On Campus," PHP, WordPress, MySQL, jQuery, Java script . JAVA,C"
691,Picus Tech Software,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,C,C++"
692,Amnex Infotechnologies,On Campus," System Analyst
Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation
Machine Learning Engineer"
698,BigScale,On Campus,"Ruby on Rail,Game Developer,Andriod Developer"
699,Cloudester,"On Campus
Through GTU","Android, Web Development (Angular.js, Node.js, React.js)"
701,Ncrypted,"On Campus
SAL College","Web Developer (PHP)

MySQL, MongoDB, SQLite, UI

IOS developer

Business Development Executive

Business Analyst

Internet Marketing Executive/SEO

Content Writer"
703,Nesans Mining and Automation Pvt Ltd,On Campus,"Mechanical, Mining, Civil and Metallurgical Engineering."
704,En-vision Environmental,On Campus,Environmental Impact Assessment (EIA) Department ; as Assistant Managers (EIA) and Junior Engineers (EIA)
705,IGZ Solution Pvt ltd,On Campus," Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
706,Advanced Business & Healthcare Solutions,On Campus," .Net, Java, Delphi, RPG, QA, SQL, Mobile technologies"
709,Shivam Jewels Pvt. Ltd,On Campus,"ASP.NET C# Developer,SQL"
710,Gati Softtech,On Campus,".NET framework 4.5, ASP.Net MVC, ASP.Net core 2.0, C#, SQL Server, JQuery, Angular JavaScript 1.7x, HTML 5, AJAX, Bootstrap 4/5."
711,CodeSchema Solutions,On Campus,"C# / ASP.NET / .NET Core Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
712,AugustCode Solutions Pvt. Ltd.,On Campus,PHP / WordPress / AI
713,Ross India,On Campus,Design Engineer
714,Fujitsu Technology Solutions,On Campus,"C,C++ / Java /.Net/SEo/Data Science "
715,Shubhalakshmi Polyesters Ltd,On Campus,"1.Textile Engineer

2.Mechanical Engineer

3.Electrical Engineer

4.Instrument/Electronics Engineer"
716,Jemistry Info Solutions LLP,On Campus,"Web Devloper, Graphics Designer, MySQL, MongoDB, SQLite, UI, Ajax, jQuery, and MySQL,APIs, Unix/Linux, and MVC Framework Architecture,JavaScript, CSS, and HTML., Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
719,rainstreamweb,On Campus,"PHP, MySQL, Git"
721,Meritorious Infotech,On Campus,"C#, C++, Objective-C, or JavaScript , React Native, PHP,Node JavaScript, Andriod"
722,RS Automation,On Campus,Electrical engineers
725,Meditab Software,"On Campus
Through eLitmus","Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
726,Shahlon Silk Industries Ltd.,On Campus,Weaving Supervisor
728,"Garden Silk Milss Ltd,",On Campus,(Chemical)
729,3DEXTER,On Campus,3D Designing and 3D Printing
732,BosLeo Technology Pvt. Ltd.,On Campus,PHP(Laravel) Lead/Developer
733,Rima Machines Pvt. Ltd.,On Campus,"Textile engineer with knowledge of Yarn Processing (twisting, covering, winding, etc.)
Knowledge of Mechanical and Electrical requirements of a machine"
734,Reliance Retail Ltd,On Campus,"Installation/Repair of AC, Refrigerator, washing Machine, LED TV, water purifier and Microwave as per the agreed SLA’s"
735,Melzo,On Campus,"We’re in search of a HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST. who’s a jack of all trades, transitioning seamlessly between front and backend coding. You’ll be part of a cross-functional team that’s responsible for the full software development life cycle, from conception to deployment. As a HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST., you should be comfortable around both
front-end and back-end coding languages, development frameworks, and third-party libraries. You should also be a team player with a knack for visual design and utility."
736,Calyxpod,On Campus,"Networking, OS, DB,Python / Django
Java / J2EE 
Javascript / ReactJavaScript 
Javascript / Angular "
737,Anand Systems,On Campus,"VB.Net,C#,SQL Server 2008, SQL Server 2012, SQL Server 2014.
ASP.Net, SQL Server, C#, HTML 5, CSS 3, Bootstrap , Java Script, jQuery,MVC,angular 7"
738,Morling Global (P) Ltd,On Campus,"Good Communication skills (Written & Verbal).

Good Analytical, logical and reasoning skills,Network Analyst"
740,Green Technology Solution,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,Javascript and Jquery"
741,Actosoft,On Campus,"1. Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (MVC.NET technology)
2. MySQL, MongoDB, SQLite, UI (android studio, mobile app development)
3. Marketing Executive (Good Verbal, written communication skill required for Software Marketing)
4. Support Executive (Software Technical & Communication skill)"
742,Forferont Infotech,On Campus,"ASP.net Developer

Desktop Developer

iOS Developer

MySQL, MongoDB, SQLite, UI

SEO Developer: 3 position

Front End Developer: 10 position"
743,Techcrest Design And Solution,On Campus,software internship 
744,Solvina India Private Limited,On Campus,"Masters in Engineering pursued in Electrical Engineering/Power Systems.software skills in tools like – Matlab, MS Office, MIPower."
745,Tagline Infotech,On Campus,"Ruby on Rails, NodeJs, AngularJs, ReactJs, ReactNative, Android, iOS,PHP"
746,VC ERP Consulting,On Campus,"Asp.Net	BE Computer,JAVA"
747,Sunstone Eduversity,On Campus,Software ENgineer
749,Neebal Technologies,On Campus,Java Developer -
750,Knack Solution,On Campus,B.E Mechanical / Electrical / Electronics
751,Cirkle Studio Pvt. Ltd,On Campus,"[Scripting side] - JavaScript, Jquery, angular, React js , Backbone js. 

[Design side] - HTML5, CSS3, Bootstrap, SASS, Animation

[Database side] – My SQL, MongoDB

[Language] - Core PHP ,Node js

[PHP Framework] - WordPress, CodeIgniter, Laravel, OpenCart ,Ruby on Rail ,Express Js ,Hapi.

[Ecommerce] - Shopify, Magento"
752,Dodhia Group,On Campus, Industrial Engineer 
753,YOU Broadband India Ltd,On Campuis ,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation , java developer"
756,Info Electromech,On Campus,SOC Analyst
758,Doubtnut,On Campus,Content Developer Experts
760,Hard and Soft,On Campus,"JavaScript, SQL, RDBMS Concepts and Microsoft .NET Framework, practical implementation of Object Oriented Concepts, N-Tier Architecture development and understanding of JavaScriptON, XML, SOAP."
762,Bigscal Technologies Pvt. Ltd,On Campus,"• Good hands-on coding skills in C#, ASP.Net, Ajax, Java Script, jQuery"
765,Inkey Solutions Surat,On Campus," Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation (.Net Developer),SQL server"
766,PlanetX Technologies Pvt. Ltd Surat,On Campus,• Good communication and analytical skills are must.
769,Smarty Pants Technologies,On Campus," Back-end/Full-stack developer 
2. Front end developer 
3. MySQL, MongoDB, SQLite, UI
4. swift,Xcode,UI/UX"
774,Tradepath Capital LLC,On Campus,"Python/Java/C#,"
775,Glory AutoTech,On Campus,"Angular , React, Vue  , HTML , CSS ,JavaScript.,NodeJs , Java , Express , MySQl , MongoDb , ASP.NET ."
776,Bharat Tech Labs,On Campus,"HTML/CSS. JavaScript. HTML/CSS. JavaScript. frameworks. Backend technologies. Databases and web storage.. Git/GitHub. HTTP and REST., Graphics Designer"
777,Bigscal Technologies Pvt Ltd,On Campus,"ReactJs Developer
Asp.Net MVC Developer
React native Developer
Angular Developer
Node.js,Web Appplication, Commuincation 
HTML/CSS. JavaScript. Developer
Software Tester (QA) 
"
778,VKS Technologies,On Campus,"Microprocessors and Micro-controllers Boards , C, C++, JAVA, Python,Unix & Linux, Microsoft, Compilers, Assemblers, Linkers, Loaders, API Management, Cloud Computing, App Development Studios, Wireless Networks, Wireless Transmission Protocols, Wireless Sensors"
780,ETP PLANT,On Campus,Be . chemical 
781,HivePro,On Campus,"Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation - JAM Stack Application Development & Data Science"
783,Xceed - A Unit of Safexpress Pvt Ltd,On Campus,"MySQL, MongoDB, SQLite, UI, Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation"
784,TCS - Cod vita,On Campus," C, C++, C#, Java, Python, Pearl, Ruby, PHP"
786,IDES Global Pvt Ltd,Pooled Campus," Problem-Solving and Critical Thinking,JAVA,Python,C,C++,Javascript,Commuincation,C#, C++,Excellent communication skills,Knowledge of Design of Components of Residential or Commercial Structures ,Excellent communication skills
"
